15 December 2019,Arsenal - Premier League - England vs Manchester City,BTTS Yes,Premier League
15 December 2019,Arsenal - Premier League - England vs Manchester City,Over 1.0 FH Goal Line,Premier League
15 December 2019,Arsenal - Premier League - England vs Manchester City,Goal In Each Half,Premier League
15 December 2019,Arsenal - Premier League - England vs Manchester City,Under 5 Match Cards,Premier League
14 December 2019,Burnley vs Newcastle United,Over 1.0 FH Goal Line,Premier League
15 December 2019,Manchester United vs Everton,BTTS Yes,Premier League
15 December 2019,Manchester United vs Everton,Over 0.5/1.0 FH Goal Line,Premier League
15 December 2019,Manchester United vs Everton,Goal In Each Half,Premier League
14 December 2019,Sheffield United vs Aston Villa,Over 0.5/1.0 FH Goal Line,Premier League
14 December 2019,Southampton vs West Ham United,Over 1.0 FH Goal Line,Premier League
14 December 2019,Southampton vs West Ham United,Goal In Each Half,Premier League
14 December 2019,Southampton vs West Ham United,Under 5 Match Cards,Premier League
15 December 2019,Wolverhampton Wanderers vs Tottenham Hotspur,Over 0.5/1.0 FH Goal Line,Premier League
15 December 2019,Wolverhampton Wanderers vs Tottenham Hotspur,Goal In Each Half,Premier League
15 December 2019,Wolverhampton Wanderers vs Tottenham Hotspur,Under 11 Match Corners,Premier League
14 December 2019,Sunderland vs Blackpool,Under 5 Match Cards,League One
14 December 2019,Barnsley vs Queens Park Rangers,Under 5 Match Cards,Championship
14 December 2019,Bristol City vs Blackburn Rovers,Under 5 Match Cards,Championship
14 December 2019,Derby County vs Millwall,Under 5 Match Cards,Championship
14 December 2019,Stoke City vs Reading,Under 5 Match Cards,Championship
14 December 2019,Newport County vs Stevenage,Under 1.5 SH Goals,League Two
14 December 2019,Salford City vs Exeter City,Under 5 Match Cards,League Two
14 December 2019,Aberdeen vs Hamilton Academical,Under 5 Match Cards,Scotland Premier
15 December 2019,Celtic vs Hibernian,Over 0.5/1.0 FH Goal Line,Scotland Premier
15 December 2019,Celtic vs Hibernian,Over 1.5 SH Goals,Scotland Premier
15 December 2019,Celtic vs Hibernian,Goal In Each Half,Scotland Premier
15 December 2019,Motherwell vs Rangers,Over 0.5/1.0 FH Goal Line,Scotland Premier
14 December 2019,Ross County vs Kilmarnock,Over 2.5 Goals,Scotland Premier
14 December 2019,Arbroath vs Dundee United,Over 0.5/1.0 FH Goal Line,Scotland Championship
14 December 2019,Arbroath vs Dundee United,Under 5 Match Cards,Scotland Championship
14 December 2019,Ayr United vs Alloa Athletic,Over 1.0 FH Goal Line,Scotland Championship
14 December 2019,Greenock Morton vs Queen of the South,Under 5 Match Cards,Scotland Championship
14 December 2019,Partick Thistle vs Inverness CT,Under 5 Match Cards,Scotland Championship
14 December 2019,Airdrieonians vs Peterhead,Over 0.5/1.0 FH Goal Line,Scotland League One
14 December 2019,Elgin City vs Albion Rovers,Over 0.5/1.0 FH Goal Line,Scotland League Two
15 December 2019,Bologna vs Atalanta,Over 3 Match Cards,Serie A
14 December 2019,Brescia vs Lecce,Over 3 Match Cards,Serie A
15 December 2019,Fiorentina vs Internazionale,Over 3 Match Cards,Serie A
15 December 2019,Hellas Verona vs Torino,Over 3 Match Cards,Serie A
15 December 2019,Hellas Verona vs Torino,Over 4 Match Cards,Serie A
15 December 2019,Milan vs Sassuolo,Over 3 Match Cards,Serie A
14 December 2019,Napoli vs Parma,Over 3 Match Cards,Serie A
15 December 2019,Roma vs SPAL,Under 1.0 FH Goal Line,Serie A
14 December 2019,Ascoli vs Cittadella,Over 3 Match Cards,Serie B
15 December 2019,Cosenza vs Pordenone,Over 1.0 FH Goal Line,Serie B
15 December 2019,Cosenza vs Pordenone,Over 3 Match Cards,Serie B
14 December 2019,Frosinone vs Pescara,Over 0.5/1.0 FH Goal Line,Serie B
14 December 2019,Venezia vs Spezia,Over 0.5/1.0 FH Goal Line,Serie B
14 December 2019,Virtus Entella vs Empoli,Over 0.5/1.0 FH Goal Line,Serie B
14 December 2019,Atletico Madrid vs Osasuna,Over 3 Match Cards,La Liga
14 December 2019,Granada vs Levante,Under 1.0 FH Goal Line,La Liga
14 December 2019,Granada vs Levante,Over 3 Match Cards,La Liga
14 December 2019,Granada vs Levante,Over 4 Match Cards,La Liga
15 December 2019,Elche vs Las Palmas,Over 3 Match Cards,Spain Segunda
15 December 2019,Fuenlabrada vs Almería,Over 3 Match Cards,Spain Segunda
15 December 2019,Lugo vs Sporting Gijón,Under 1.0 FH Goal Line,Spain Segunda
15 December 2019,Lugo vs Sporting Gijón,Over 3 Match Cards,Spain Segunda
14 December 2019,Mirandés vs Huesca,Over 3 Match Cards,Spain Segunda
15 December 2019,Real Oviedo vs Cádiz,Under 1.5 SH Goals,Spain Segunda
15 December 2019,Real Oviedo vs Cádiz,Over 3 Match Cards,Spain Segunda
15 December 2019,Rayo Vallecano vs Albacete,Under 1.5 SH Goals,Spain Segunda
15 December 2019,Rayo Vallecano vs Albacete,Over 3 Match Cards,Spain Segunda
14 December 2019,Tenerife vs Alcorcón,Under 1.5 SH Goals,Spain Segunda
14 December 2019,Tenerife vs Alcorcón,Under 11 Match Corners,Spain Segunda
14 December 2019,Tenerife vs Alcorcón,Under 10 Match Corners,Spain Segunda
14 December 2019,Tenerife vs Alcorcón,Over 3 Match Cards,Spain Segunda
14 December 2019,Real Zaragoza vs Racing Santander,Over 3 Match Cards,Spain Segunda
14 December 2019,Bayern Munich vs Werder Bremen,Over 2.5 Goals,Bundesliga
14 December 2019,Bayern Munich vs Werder Bremen,Over 0.5/1.0 FH Goal Line,Bundesliga
14 December 2019,Fortuna Dusseldorf vs RB Leipzig,Over 0.5/1.0 FH Goal Line,Bundesliga
14 December 2019,Mainz 05 vs Borussia Dortmund,Over 2.5 Goals,Bundesliga
14 December 2019,Mainz 05 vs Borussia Dortmund,Over 1.0 FH Goal Line,Bundesliga
14 December 2019,Köln vs Bayer Leverkusen,Over 0.5/1.0 FH Goal Line,Bundesliga
14 December 2019,Paderborn vs Union Berlin,Over 1.0 FH Goal Line,Bundesliga
15 December 2019,Nürnberg vs Holstein Kiel,Over 1.0 FH Goal Line,2. Bundesliga
15 December 2019,Nürnberg vs Holstein Kiel,Goal In Each Half,2. Bundesliga
15 December 2019,Nürnberg vs Holstein Kiel,Under 11 Match Corners,2. Bundesliga
15 December 2019,Sandhausen vs Hamburger SV,BTTS Yes,2. Bundesliga
14 December 2019,Eintracht Braunschweig vs Meppen,Over 3 Match Cards,3. Liga
15 December 2019,Sonnenhof Großaspach vs Carl Zeiss Jena,Over 0.5/1.0 FH Goal Line,3. Liga
15 December 2019,Sonnenhof Großaspach vs Carl Zeiss Jena,Goal In Each Half,3. Liga
15 December 2019,Sonnenhof Großaspach vs Carl Zeiss Jena,Over 3 Match Cards,3. Liga
14 December 2019,Bayern München II vs Kaiserslautern,Over 1.0 FH Goal Line,3. Liga
14 December 2019,Hallescher FC vs Würzburger Kickers,Under 1.0 FH Goal Line,3. Liga
14 December 2019,Amiens SC vs Dijon,Under 5 Match Cards,Ligue 1
14 December 2019,Brest vs Nice,Over 0.5/1.0 FH Goal Line,Ligue 1
14 December 2019,Benfica vs Famalicão,Over 0.5/1.0 FH Goal Line,Primeira Liga
14 December 2019,Benfica vs Famalicão,Goal In Each Half,Primeira Liga
15 December 2019,Moreirense vs Belenenses,Over 3 Match Cards,Primeira Liga
14 December 2019,Marítimo vs Boavista,Over 3 Match Cards,Primeira Liga
15 December 2019,Farense vs Feirense,Over 3 Match Cards,Segunda Liga
14 December 2019,Vilafranquense vs Leixões,Over 3 Match Cards,Segunda Liga
14 December 2019,ADO Den Haag vs Groningen,Under 5 Match Cards,Eredivisie
14 December 2019,VVV vs PEC Zwolle,Over 0.5/1.0 FH Goal Line,Eredivisie
14 December 2019,VVV vs PEC Zwolle,Under 5 Match Cards,Eredivisie
14 December 2019,Twente vs Vitesse,Over 1.0 FH Goal Line,Eredivisie
15 December 2019,Feyenoord vs PSV,Over 0.5/1.0 FH Goal Line,Eredivisie
15 December 2019,Austria Wien vs Wolfsberger AC,Over 3 Match Cards,Austria
15 December 2019,Brøndby vs Hobro,BTTS Yes,Superliga
15 December 2019,Brøndby vs Hobro,Over 1.0 FH Goal Line,Superliga
15 December 2019,Randers vs Esbjerg,Over 2.5 Goals,Superliga
15 December 2019,Randers vs Esbjerg,Over 0.5/1.0 FH Goal Line,Superliga
15 December 2019,Horsens vs SønderjyskE,Over 9 Match Corners,Superliga
15 December 2019,Lyngby vs Silkeborg,BTTS Yes,Superliga
15 December 2019,Lyngby vs Silkeborg,Over 0.5/1.0 FH Goal Line,Superliga
15 December 2019,Lyngby vs Silkeborg,Goal In Each Half,Superliga
14 December 2019,Genk vs Waasland-Beveren,Over 0.5/1.0 FH Goal Line,Belgium Pro
14 December 2019,Zulte-Waregem vs Sint-Truiden,Over 0.5/1.0 FH Goal Line,Belgium Pro
14 December 2019,Zlín vs Opava,Under 1.0 FH Goal Line,Czech Liga
14 December 2019,Zlín vs Opava,Over 9 Match Corners,Czech Liga
14 December 2019,Baník Ostrava vs Sparta Praha,Over 3 Match Cards,Czech Liga
14 December 2019,Příbram vs Slovácko,Over 3 Match Cards,Czech Liga
14 December 2019,Rijeka vs Varaždin,Under 1.5 SH Goals,Croatia Premier
15 December 2019,Jagiellonia Białystok vs Lechia Gdańsk,Over 3 Match Cards,Ekstraklasa
14 December 2019,Legia Warszawa vs Wisła Płock,Over 1.0 FH Goal Line,Ekstraklasa
14 December 2019,Legia Warszawa vs Wisła Płock,Goal In Each Half,Ekstraklasa
15 December 2019,Beşiktaş vs Yeni Malatyaspor,Over 3 Match Cards,Super-Lig
15 December 2019,Larissa vs Atromitos,Over 3 Match Cards,Hellas Liga
15 December 2019,Larissa vs Atromitos,Over 4 Match Cards,Hellas Liga
14 December 2019,OFI vs Aris,Over 3 Match Cards,Hellas Liga
14 December 2019,OFI vs Aris,Over 4 Match Cards,Hellas Liga
15 December 2019,Chindia Târgovişte vs Hermannstadt,Under 11 Match Corners,Romania Liga
15 December 2019,Maccabi Netanya vs Hapoel Tel Aviv,Under 11 Match Corners,Isreal
14 December 2019,Maccabi Tel Aviv vs Sektzia Nes Tziona,Over 3 Match Cards,Isreal
15 December 2019,Ashdod vs Hapoel Hadera,Over 3 Match Cards,Isreal
